{i}, {x_center}, {y_center}, {width}, {height}, {confidence_i_found_a_thing}, {confidence_its_a_face},
2990, 160.048, 167.765, 175.1866, 185.2023, 193.9485, 200.7842,
2991, 208.8748, 218.2357, 227.6794, 235.5926, 241.9259, 247.205,
2992, 254.8145, 264.0358, 271.6425, 279.3602, 287.5205, 295.279,
2993, 303.2664, 315.6947, 325.4002, 330.0048, 338.2054, 346.8445,
2994, 353.3019, 365.6431, 372.7184, 380.4749, 382.9818, 390.3492,
2995, 402.1365, 410.2566, 417.5573, 424.6676, 433.0473, 440.3744,
2996, 448.1266, 457.3136, 464.5894, 474.8955, 482.2029, 490.9113,
2997, 498.3117, 504.423, 512.9801, 521.834, 529.2195, 537.6497,
2998, 546.0206, 559.3057, 564.6553, 572.8547, 582.009, 583.4238,
2999, 594.4307, 603.6544, 607.6555, 618.7779, 633.793, 636.5664,
3000, 4.934697, 13.08348, 17.05901, 25.40895, 33.94511, 42.73992,
3001, 52.14376, 60.4703, 71.69602, 77.2023, 82.321, 89.35886,
3002, 96.07619, 105.2081, 112.4803, 118.1656, 125.8305, 135.0538,
3003, 143.919, 152.0082, 160.0656, 168.0607, 175.4276, 185.8124,
3004, 194.5278, 201.3475, 209.4487, 219.2875, 228.7708, 235.4954,
3005, 241.4538, 247.704, 254.6184, 264.8206, 271.9984, 279.7007,
3006, 287.8177, 295.3848, 303.6775, 317.0273, 325.0143, 330.049,
3007, 338.9001, 345.5513, 352.8904, 364.2509, 373.6573, 381.098,
3008, 384.274, 395.5636, 402.2143, 407.5135, 418.5429, 423.3328,
3009, 431.1212, 439.0078, 447.3225, 456.1749, 463.6777, 475.1997,
3010, 482.6007, 489.6831, 498.4378, 506.3054, 512.5666, 520.9418,
3011, 528.667, 538.6226, 545.8515, 558.2827, 564.4785, 577.2048,
3012, 581.0743, 583.0723, 594.8946, 601.9884, 607.4504, 619.8402,
3013, 632.7624, 636.5392, 4.999115, 12.32036, 17.01204, 24.9276,
3014, 34.16075, 44.72443, 52.19416, 59.89439, 68.93478, 80.04762,
3015, 84.23579, 88.46304, 95.44483, 104.7978, 111.9723, 118.6172,
3016, 126.521, 135.9261, 144.3409, 152.5429, 160.6346, 168.4682,
3017, 176.1075, 186.4086, 195.3831, 202.3577, 210.3235, 221.2719,
3018, 230.3591, 235.6361, 241.0685, 247.8749, 255.5809, 265.3163,
3019, 273.0392, 280.2537, 288.1566, 295.8217, 304.058, 317.966,
3020, 326.2358, 330.0888, 339.1945, 344.3291, 353.6493, 361.2913,
3021, 372.5531, 381.7699, 386.4495, 400.308, 406.9718, 409.0379,
3022, 414.8976, 422.3612, 432.0884, 438.988, 447.244, 456.6552,
3023, 464.585, 474.2899, 482.564, 490.0162, 498.6119, 506.0712,
3024, 514.0834, 522.0828, 529.5011, 538.4401, 545.6191, 556.2717,
3025, 563.3518, 574.1166, 579.4382, 585.8556, 598.4699, 602.2984,
